Datum,Lokalzeit,Last [kW],Globalstrahlung [W/m2],Lufttemperatur [°C]
04.01.2021,20:15:00,60862.14,0,-0.2
04.01.2021,20:30:00,60509.89,0,-0.2
04.01.2021,20:45:00,59414.02,0,-0.2
04.01.2021,21:00:00,58776.04,0,-0.2
04.01.2021,21:15:00,58517.21,0,-0.3
04.01.2021,21:30:00,56923.77,0,-0.3
04.01.2021,21:45:00,55818.32,0,-0.3
04.01.2021,22:00:00,55334.46,0,-0.3
04.01.2021,22:15:00,57054.26,0,-0.4
04.01.2021,22:30:00,55964.95,0,-0.4
04.01.2021,22:45:00,55831.14,0,-0.4
04.01.2021,23:00:00,54540.81,0,-0.4
04.01.2021,23:15:00,53371.21,0,-0.7
04.01.2021,23:30:00,52961.22,0,-0.7
04.01.2021,23:45:00,52210.89,0,-0.7
05.01.2021,00:00:00,51793.04,0,-0.7
05.01.2021,00:15:00,51451.42,0,-0.8
05.01.2021,00:30:00,51094.87,0,-0.8
05.01.2021,00:45:00,51153.88,0,-0.8
05.01.2021,01:00:00,50225.08,0,-0.8
05.01.2021,01:15:00,49664.92,0,-0.9
05.01.2021,01:30:00,48848.96,0,-0.9
05.01.2021,01:45:00,48415.12,0,-0.9
05.01.2021,02:00:00,47743.36,0,-0.9
05.01.2021,02:15:00,48827.91,0,-1
05.01.2021,02:30:00,48186.66,0,-1
05.01.2021,02:45:00,47397.12,0,-1
05.01.2021,03:00:00,46980.13,0,-1
05.01.2021,03:15:00,47359.39,0,-1.1
05.01.2021,03:30:00,47258.22,0,-1.1
05.01.2021,03:45:00,46775.43,0,-1.1
05.01.2021,04:00:00,46127.73,0,-1.1
05.01.2021,04:15:00,46737.02,0,-1.1
05.01.2021,04:30:00,46426.49,0,-1.1
05.01.2021,04:45:00,46499.27,0,-1.1
05.01.2021,05:00:00,46160.65,0,-1.1
05.01.2021,05:15:00,47423.62,0,-1
05.01.2021,05:30:00,47697.96,0,-1
05.01.2021,05:45:00,48952.45,0,-1
05.01.2021,06:00:00,50195.64,0,-1
05.01.2021,06:15:00,51703.84,0,-1
05.01.2021,06:30:00,53401.23,0,-1
05.01.2021,06:45:00,53731.89,0,-1
05.01.2021,07:00:00,55304.26,0,-1
05.01.2021,07:15:00,56049.03,0,-0.9
05.01.2021,07:30:00,57230.68,0,-0.9
05.01.2021,07:45:00,57569.99,0,-0.9
05.01.2021,08:00:00,58103.1,0,-0.9
05.01.2021,08:15:00,59098.47,8.3,-0.9
05.01.2021,08:30:00,58028.59,8.3,-0.9
05.01.2021,08:45:00,57356.7,8.3,-0.9
05.01.2021,09:00:00,57851.55,8.3,-0.9
05.01.2021,09:15:00,57214.13,30,-0.8
05.01.2021,09:30:00,57142.56,30,-0.8
05.01.2021,09:45:00,56844.36,30,-0.8
05.01.2021,10:00:00,56966.19,30,-0.8
05.01.2021,10:15:00,56502.25,45,-0.7
05.01.2021,10:30:00,57031.11,45,-0.7
05.01.2021,10:45:00,56147.34,45,-0.7
05.01.2021,11:00:00,57023.58,45,-0.7
05.01.2021,11:15:00,57812.56,61.7,-0.4
05.01.2021,11:30:00,59387.29,61.7,-0.4
05.01.2021,11:45:00,61102.54,61.7,-0.4
05.01.2021,12:00:00,61447.6,61.7,-0.4
05.01.2021,12:15:00,57549.63,68.3,-0.4
05.01.2021,12:30:00,55089.12,68.3,-0.4
05.01.2021,12:45:00,54213.02,68.3,-0.4
05.01.2021,13:00:00,54385.86,68.3,-0.4
05.01.2021,13:15:00,54504.53,60,-0.1
05.01.2021,13:30:00,54235.45,60,-0.1
05.01.2021,13:45:00,54483.2,60,-0.1
05.01.2021,14:00:00,54887.39,60,-0.1
05.01.2021,14:15:00,55259.2,33.3,0.2
05.01.2021,14:30:00,55504.66,33.3,0.2
05.01.2021,14:45:00,55144.54,33.3,0.2
05.01.2021,15:00:00,55230.95,33.3,0.2
05.01.2021,15:15:00,55171.66,8.3,0.2
05.01.2021,15:30:00,55162.12,8.3,0.2
05.01.2021,15:45:00,55374.49,8.3,0.2
05.01.2021,16:00:00,56183.98,8.3,0.2
05.01.2021,16:15:00,57067.32,0,0.1
05.01.2021,16:30:00,58560.96,0,0.1
05.01.2021,16:45:00,59454.82,0,0.1
05.01.2021,17:00:00,60427.28,0,0.1
05.01.2021,17:15:00,62268.82,0,0
05.01.2021,17:30:00,63084.98,0,0
05.01.2021,17:45:00,63490.84,0,0
05.01.2021,18:00:00,63766.06,0,0
05.01.2021,18:15:00,64240.08,0,-0.1
05.01.2021,18:30:00,63836.54,0,-0.1
05.01.2021,18:45:00,63325.68,0,-0.1
05.01.2021,19:00:00,63058.19,0,-0.1
